Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,1200,0.2,70,16187577,1754001076,1336528583,27.8,331688,1.4,90,0.761988462,38.61902846
40,1200,0.2,75,21691375,1757241351,1468438532,27.8,27520,1.4,90,0.835649884,38.21942822
40,1200,0.2,80,17848254,1754617090,1364911265,27.8,20748,1.4,90,0.77789694,39.31049826
40,1200,0.2,85,17185822,1755504372,1357810015,27.8,13904,1.4,90,0.773458635,37.58557072
40,1200,0.2,90,20696489,1756618895,1432871185,27.8,1036,1.4,90,0.815698379,37.70905196
40,1200,0.4,70,16067845,1748900419,1337656848,27.8,40108,1.4,90,0.764855925,22.52757483
40,1200,0.4,75,15933927,1746296569,1323409845,27.8,24684,1.4,90,0.757837969,21.72204703
40,1200,0.4,80,16753754,1746985983,1357702590,27.8,13632,1.4,90,0.777168565,21.60312819
40,1200,0.4,85,14732392,1745577662,1309220641,27.8,6924,1.4,90,0.750021422,20.89902715
40,1200,0.4,90,14297365,1745765482,1308613628,27.8,780,1.4,90,0.749593025,20.06858831
40,1200,0.6,70,14026867,1743905614,1306791872,27.8,39852,1.4,90,0.749347821,17.39966088
40,1200,0.6,75,13853375,1743450884,1298584141,27.8,18524,1.4,90,0.744835517,15.91507882
40,1200,0.6,80,13642661,1746704703,1303513345,27.8,11020,1.4,90,0.746270015,15.66213701
40,1200,0.6,85,14395846,1743129743,1305001525,27.8,9592,1.4,90,0.74865427,15.62324257
40,1200,0.6,90,14029669,1743095278,1303547312,27.8,0,1.4,90,0.747834802,14.9116769
40,1200,0.8,70,13614041,1743528279,1302731349,27.8,37808,1.4,90,0.747181084,13.72842114
40,1200,0.8,75,14225142,1743204468,1306809696,27.8,16972,1.4,90,0.749659446,13.22146552
40,1200,0.8,80,13599343,1741264561,1297071816,27.8,18188,1.4,90,0.744902208,13.06881611
40,1200,0.8,85,13867640,1742200168,1298080017,27.8,13636,1.4,90,0.74508087,13.59956387
40,1200,0.8,90,13296593,1742126449,1290888144,27.8,0,1.4,90,0.740984183,12.33420485
40,1200,1,70,14047080,1741932019,1343281878,27.8,38824,1.4,90,0.771144834,12.29527749
40,1200,1,75,13460528,1742827741,1294817850,27.8,17000,1.4,90,0.742940808,11.73662975
40,1200,1,80,13660719,1741419054,1309054992,27.8,11020,1.4,90,0.751717393,12.14286223
40,1200,1,85,13718005,1742618527,1302570725,27.8,18292,1.4,90,0.747478983,13.39628329
40,1200,1,90,13910993,1743427629,1294283006,27.8,0,1.4,90,0.742378396,10.8695344
40,1200,1.2,70,13738694,1744491302,1298329139,27.8,34192,1.4,90,0.74424512,11.6248453
40,1200,1.2,75,13432529,1742026808,1293611946,27.8,17744,1.4,90,0.742590148,11.0386801
40,1200,1.2,80,13424220,1741610825,1288799907,27.8,18788,1.4,90,0.740004534,11.08322308
40,1200,1.2,85,13366559,1742084478,1288473500,27.8,13132,1.4,90,0.739615969,10.88994371
40,1200,1.2,90,13666263,1742331784,1297761996,27.8,0,1.4,90,0.74484206,10.17936967
40,1200,1.4,70,13636071,1743151800,1298851568,27.8,36268,1.4,90,0.745116729,11.77787513
40,1200,1.4,75,12737218,1741550964,1288795955,27.8,15684,1.4,90,0.7400277,10.5196721
40,1200,1.4,80,13104621,1743162927,1289552433,27.8,10508,1.4,90,0.73977734,10.29649033
40,1200,1.4,85,13461728,1740559132,1299284851,27.8,28552,1.4,90,0.746475559,10.49611624
40,1200,1.4,90,13743456,1740481886,1294876094,27.8,0,1.4,90,0.743975622,9.649028817
40,1200,1.6,70,13939210,1742349674,1296534177,27.8,40364,1.4,90,0.744129721,11.82394425
40,1200,1.6,75,13296578,1744049420,1289069784,27.8,18688,1.4,90,0.739124574,10.50863049
40,1200,1.6,80,13465958,1744464594,1294778905,27.8,10508,1.4,90,0.742221372,10.11723009
40,1200,1.6,85,13625680,1742001693,1299875261,27.8,13324,1.4,90,0.746196325,10.51594889
40,1200,1.6,90,13375397,1749938993,1300352616,27.8,0,1.4,90,0.743084542,9.460991338
40,1600,0.2,70,15440246,1748670330,1330122673,27.8,40364,1.4,90,0.760648048,29.47286997
40,1600,0.2,75,15122678,1749735363,1327113019,27.8,20572,1.4,90,0.758464993,28.15025584
40,1600,0.2,80,15021305,1749734750,1331830926,27.8,10508,1.4,90,0.761161614,28.4608021
40,1600,0.2,85,15401353,1749875807,1331924932,27.8,13824,1.4,90,0.761153978,28.08997263
40,1600,0.2,90,15113626,1749119805,1326618474,27.8,0,1.4,90,0.758449176,27.45469135
40,1600,0.4,70,14204153,1744969954,1313001696,27.8,42412,1.4,90,0.752449458,17.50852392
40,1600,0.4,75,13804364,1745111755,1313307057,27.8,16716,1.4,90,0.752563298,16.42752291
40,1600,0.4,80,13956907,1746152770,1306397625,27.8,10804,1.4,90,0.748157691,17.0810297
40,1600,0.4,85,14004210,1742535312,1309244536,27.8,13896,1.4,90,0.751344622,16.30178786
40,1600,0.4,90,13637429,1742246214,1303453955,27.8,0,1.4,90,0.748145667,15.83377015
40,1600,0.6,70,13768529,1744595111,1306105003,27.8,46292,1.4,90,0.748657952,13.97351619
40,1600,0.6,75,13430138,1742071986,1296691756,27.8,17788,1.4,90,0.744338791,12.65017479
40,1600,0.6,80,13485275,1744828897,1308489976,27.8,16500,1.4,90,0.749924522,12.96851282
40,1600,0.6,85,13774253,1742970890,1306891865,27.8,13904,1.4,90,0.749807052,12.93653067
40,1600,0.6,90,13361583,1741022097,1300285887,27.8,0,1.4,90,0.74685203,12.00360247
40,1600,0.8,70,13107716,1748477447,1306957621,27.8,43276,1.4,90,0.747483259,11.88923479
40,1600,0.8,75,13180526,1741222641,1295779745,27.8,21616,1.4,90,0.744178093,10.7553662
40,1600,0.8,80,13254314,1740265935,1293620814,27.8,13068,1.4,90,0.743346628,10.40260264
40,1600,0.8,85,12920513,1742502195,1300174515,27.8,17164,1.4,90,0.746153732,10.41452269
40,1600,0.8,90,13517715,1744063549,1307805200,27.8,0,1.4,90,0.749860979,10.15515347
40,1600,1,70,12901320,1742133971,1302362578,27.8,42252,1.4,90,0.747567409,10.6513102
40,1600,1,75,13797079,1739976273,1299783743,27.8,24708,1.4,90,0.747012338,10.02385069
40,1600,1,80,13165524,1740521622,1295599377,27.8,28032,1.4,90,0.744374193,9.760506665
40,1600,1,85,12899653,1740612810,1298079576,27.8,5388,1.4,90,0.745760096,9.392803226
40,1600,1,90,13255766,1740975923,1305801188,27.8,0,1.4,90,0.750039774,8.885815408
40,1600,1.2,70,13307111,1748812411,1297557084,27.8,43720,1.4,90,0.741964705,10.65583338
40,1600,1.2,75,13063978,1742248438,1297989638,27.8,42156,1.4,90,0.745008352,9.227328731
40,1600,1.2,80,13077984,1742980897,1294749482,27.8,19328,1.4,90,0.742836301,10.12871478
