Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demand,RAM_demand,cpi,time
40,900,0.2,70,18855698,1758900891,1384133427,44,44772,1.4,90,0.786930881,64.98471672
40,900,0.2,75,22228212,1782396552,1478124659,45,31632,1.4,90,0.829290574,65.92896223
40,900,0.2,80,23633547,1780406235,1611072240,45,29844,1.4,90,0.904890248,58.00315127
40,900,0.2,85,22099822,1775033578,1488310729,44,10812,1.4,90,0.838469056,52.85949478
40,900,0.2,90,20489960,1774324619,1424355756,45,780,1.4,90,0.802759394,55.37365119
40,900,0.4,70,20448022,1769533465,1472557949,44,43716,1.4,90,0.832172987,38.87563866
40,900,0.4,75,18109528,1768072795,1364671049,45,30876,1.4,90,0.771840986,36.76749428
40,900,0.4,80,17346292,1767427847,1358514913,45,32924,1.4,90,0.768639532,36.04686314
40,900,0.4,85,17329628,1765305696,1381820011,44,10496,1.4,90,0.782765282,32.35321391
40,900,0.4,90,16117267,1766872474,1346036942,45,524,1.4,90,0.761818955,30.25074645
40,900,0.6,70,16838730,1766008368,1351866758,45,44244,1.4,90,0.765492838,32.46658098
40,900,0.6,75,16127739,1763947348,1325720636,45,24960,1.4,90,0.751564743,30.61342246
40,900,0.6,80,16071080,1763473237,1334902607,46,20072,1.4,90,0.756973556,28.92712977
40,900,0.6,85,16373459,1764698168,1352665062,47,8192,1.4,90,0.766513553,26.60977507
40,900,0.6,90,15926679,1761070659,1339223897,46,524,1.4,90,0.760460059,24.44521834
40,900,0.8,70,16751850,1769380530,1331519753,47,38656,1.4,90,0.752534421,29.16395377
40,900,0.8,75,16323802,1762040233,1336453132,47,37644,1.4,90,0.758469135,27.12784649
40,900,0.8,80,15878169,1762570838,1368885970,47,16140,1.4,90,0.776641676,26.22920323
40,900,0.8,85,15946448,1762280572,1334142233,47,10508,1.4,90,0.757054384,23.6002329
40,900,0.8,90,15677292,1759347291,1328252651,47,1036,1.4,90,0.754968992,21.71690647
40,900,1,70,16024951,1769517019,1333635640,48,42996,1.4,90,0.753672118,27.70046345
40,900,1,75,15635449,1761182124,1319449547,48,24444,1.4,90,0.749184045,25.80081223
40,900,1,80,15914785,1761520479,1338033220,47,37132,1.4,90,0.759589932,22.38524907
40,900,1,85,15760756,1760877056,1353469004,47,17420,1.4,90,0.768633449,20.60328143
40,900,1,90,16064787,1760332615,1350099861,47,524,1.4,90,0.76695725,19.80498278
40,900,1.2,70,15611802,1762338365,1336596509,48,40640,1.4,90,0.758422182,25.9042831
40,900,1.2,75,16115068,1762122508,1332086553,48,40204,1.4,90,0.755955699,24.13176988
40,900,1.2,80,15498385,1761518429,1324700328,48,37388,1.4,90,0.752021839,21.69488528
40,900,1.2,85,15107941,1758681857,1317851062,48,25356,1.4,90,0.749340227,20.02623083
40,900,1.2,90,15646403,1758320093,1358776079,48,780,1.4,90,0.772769466,18.40188713
40,900,1.4,70,15789716,1758900403,1365132980,48,38572,1.4,90,0.776128641,23.87673018
40,900,1.4,75,15079637,1759772796,1321514992,48,38412,1.4,90,0.750957734,22.15525746
40,900,1.4,80,15409814,1758998675,1314520265,48,38412,1.4,90,0.747311686,19.43771677
40,900,1.4,85,15662777,1760182407,1339987606,48,11104,1.4,90,0.761277695,19.81515254
